tmdb_id,title,original_language,language_queried,release_date,popularity,vote_average,vote_count,director_gender,female_leads_top5,male_leads_top5,total_cast,female_in_full_cast,budget,revenue,runtime,genres,production_companies,bechdel_proxy_score,bechdel_proxy_pass,bechdel_proxy_partial,year,decade,genres_list,primary_genre,revenue_clean,budget_clean,has_boxoffice,roi,female_cast_ratio,female_lead_ratio,director_gender_label,language_label,revenue_m,revenue_inr_crore,budget_inr_crore
20453,3 Idiots,hi,hi,2009-12-23,18.9154,8.0,2706,2,1,4,26,5,9000000,70000000,171,"['Drama', 'Comedy']","['Vidhu Vinod Chopra Productions', 'Vinod Chopra Films']",0.0,False,False,2009,2005,"['Drama', 'Comedy']",Drama,70000000.0,9000000.0,True,6.777777777777778,0.1923076923076923,0.2,Male,Hindi,,460.0,75.15
781732,Animal,hi,hi,2023-12-01,16.0044,6.119,189,2,2,3,158,26,13000000,108300000,201,"['Action', 'Crime', 'Drama']","['T-Series', 'Bhadrakali Pictures', 'ST Film']",2.0,False,True,2023,2020,"['Action', 'Crime', 'Drama']",Action,108300000.0,13000000.0,True,7.3307692307692305,0.1645569620253164,0.4,Male,Hindi,,917.0,108.55
360814,Dangal,hi,hi,2016-12-21,9.7434,7.878,1155,2,4,1,25,5,10400000,311000000,161,"['Drama', 'Family', 'Comedy']","['Aamir Khan Productions', 'UTV Motion Pictures', 'Disney World Cinema']",2.0,False,True,2016,2015,"['Drama', 'Family', 'Comedy']",Drama,311000000.0,10400000.0,True,28.903846153846153,0.2,0.8,Male,Hindi,,2023.71,86.84
7508,Like Stars on Earth,hi,hi,2007-12-21,8.3399,7.969,1337,2,1,4,17,3,2600000,28430000,162,['Drama'],"['Aamir Khan Productions', 'PVR Inox Pictures', 'UTV Motion Pictures']",0.0,False,False,2007,2005,['Drama'],Drama,28430000.0,2600000.0,True,9.934615384615384,0.1764705882352941,0.2,Male,Hindi,,237.3905,21.71
872906,Jawan,hi,hi,2023-09-07,7.9648,7.077,326,2,2,3,205,19,36150000,136698671,169,"['Action', 'Thriller']",['Red Chillies Entertainment'],2.0,False,True,2023,2020,"['Action', 'Thriller']",Action,136698671.0,36150000.0,True,2.7814293499308436,0.0926829268292682,0.4,Male,Hindi,,1148.0,301.8525
376812,Sultan,hi,hi,2016-07-06,7.2931,6.861,259,2,1,4,17,4,10400000,102000000,170,"['Drama', 'Action', 'Romance']",['Yash Raj Films'],0.0,False,False,2016,2015,"['Drama', 'Action', 'Romance']",Drama,102000000.0,10400000.0,True,8.807692307692308,0.2352941176470588,0.2,Male,Hindi,,623.0,86.84
26022,My Name Is Khan,hi,hi,2010-02-10,5.4532,8.028,1452,2,2,2,43,11,12000000,42345360,165,"['Drama', 'Romance']","['Dharma Productions', 'Fox Searchlight Pictures', 'Red Chillies Entertainment', 'Fox Star Studios', 'Image Nation Abu Dhabi', 'Fox International Productions', 'Mandate International', 'Star China Media', 'Bollywood Hollywood Productions', 'FilmyBox Movies', 'Sony Music']",2.0,False,True,2010,2010,"['Drama', 'Romance']",Drama,42345360.0,12000000.0,True,2.52878,0.2558139534883721,0.4,Male,Hindi,,353.583756,100.2
1163258,12th Fail,hi,hi,2023-08-11,5.997,7.9,238,2,1,4,25,3,2400000,8300000,146,['Drama'],"['Vidhu Vinod Chopra Productions', 'Zee Studios']",0.0,False,False,2023,2020,['Drama'],Drama,8300000.0,2400000.0,True,2.4583333333333335,0.12,0.2,Male,Hindi,,69.305,20.04
1160018,Kill,hi,hi,2024-07-03,7.0544,7.105,493,2,1,4,81,5,4800000,5600000,105,"['Action', 'Crime', 'Thriller', 'Drama']","['Sikhya Entertainment', 'Dharma Productions']",0.0,False,False,2024,2020,"['Action', 'Crime', 'Thriller', 'Drama']",Action,5600000.0,4800000.0,True,0.1666666666666666,0.0617283950617283,0.2,Male,Hindi,,46.76,40.08
4251,Veer-Zaara,hi,hi,2004-11-12,5.716,7.452,305,2,4,1,30,7,7000000,29385320,192,"['Drama', 'Romance']","['Yash Raj Films', 'Veer Zaara Pictures']",2.0,False,True,2004,2000,"['Drama', 'Romance']",Drama,29385320.0,7000000.0,True,3.197902857142857,0.2333333333333333,0.8,Male,Hindi,,245.367422,58.45
370665,Dilwale,hi,hi,2015-12-18,5.2053,6.6,344,2,2,3,21,2,26000000,61000000,158,"['Crime', 'Action', 'Comedy']","['Red Chillies Entertainment', 'Rohit Shetty Productionz']",2.0,False,True,2015,2015,"['Crime', 'Action', 'Comedy']",Crime,61000000.0,26000000.0,True,1.3461538461538465,0.0952380952380952,0.4,Male,Hindi,,509.35,217.1
206324,Bhaag Milkha Bhaag,hi,hi,2013-07-12,5.5778,7.5,278,2,3,2,15,4,4600000,25000000,186,"['History', 'Drama']",['Viacom18 Studios'],2.0,False,True,2013,2010,"['History', 'Drama']",History,25000000.0,4600000.0,True,4.434782608695652,0.2666666666666666,0.6,Male,Hindi,,208.75,38.41
192558,Aashiqui 2,hi,hi,2013-04-26,5.3046,6.84,188,2,1,4,8,1,1300000,16000000,132,"['Drama', 'Romance']","['T-Series', 'Vishesh Films']",0.0,False,False,2013,2010,"['Drama', 'Romance']",Drama,16000000.0,1300000.0,True,11.307692307692308,0.125,0.2,Male,Hindi,,133.6,10.855
297222,PK,hi,hi,2014-12-18,5.6558,7.695,1156,2,1,4,22,6,13000000,118920000,153,"['Comedy', 'Drama', 'Science Fiction']","['Rajkumar Hirani Films', 'Vinod Chopra Films', 'UTV Motion Pictures']",0.0,False,False,2014,2010,"['Comedy', 'Drama', 'Science Fiction']",Comedy,118920000.0,13000000.0,True,8.147692307692308,0.2727272727272727,0.2,Male,Hindi,,854.0,108.55
205022,Chennai Express,hi,hi,2013-08-08,5.0242,6.52,381,2,1,4,16,3,18000000,62000000,141,"['Romance', 'Comedy', 'Action']","['Red Chillies Entertainment', 'UTV Motion Pictures', 'Reliance MediaWorks']",0.0,False,False,2013,2010,"['Romance', 'Comedy', 'Action']",Romance,62000000.0,18000000.0,True,2.4444444444444446,0.1875,0.2,Male,Hindi,,517.7,150.3
