tmdb_id,title,original_language,language_queried,release_date,popularity,vote_average,vote_count,director_gender,female_leads_top5,male_leads_top5,total_cast,female_in_full_cast,budget,revenue,runtime,genres,production_companies
20453,3 Idiots,hi,hi,2009-12-23,18.9154,8.0,2706,2,1,4,26,5,9000000,70000000,171,"['Drama', 'Comedy']","['Vidhu Vinod Chopra Productions', 'Vinod Chopra Films']"
781732,Animal,hi,hi,2023-12-01,16.0044,6.119,189,2,2,3,158,26,13000000,108300000,201,"['Action', 'Crime', 'Drama']","['T-Series', 'Bhadrakali Pictures', 'ST Film']"
360814,Dangal,hi,hi,2016-12-21,9.7434,7.878,1155,2,4,1,25,5,10400000,311000000,161,"['Drama', 'Family', 'Comedy']","['Aamir Khan Productions', 'UTV Motion Pictures', 'Disney World Cinema']"
7508,Like Stars on Earth,hi,hi,2007-12-21,8.3399,7.969,1337,2,1,4,17,3,2600000,28430000,162,['Drama'],"['Aamir Khan Productions', 'PVR Inox Pictures', 'UTV Motion Pictures']"
872906,Jawan,hi,hi,2023-09-07,7.9648,7.077,326,2,2,3,205,19,36150000,136698671,169,"['Action', 'Thriller']",['Red Chillies Entertainment']
376812,Sultan,hi,hi,2016-07-06,7.2931,6.861,259,2,1,4,17,4,10400000,102000000,170,"['Drama', 'Action', 'Romance']",['Yash Raj Films']
26022,My Name Is Khan,hi,hi,2010-02-10,5.4532,8.028,1452,2,2,2,43,11,12000000,42345360,165,"['Drama', 'Romance']","['Dharma Productions', 'Fox Searchlight Pictures', 'Red Chillies Entertainment', 'Fox Star Studios', 'Image Nation Abu Dhabi', 'Fox International Productions', 'Mandate International', 'Star China Media', 'Bollywood Hollywood Productions', 'FilmyBox Movies', 'Sony Music']"
1163258,12th Fail,hi,hi,2023-08-11,5.997,7.9,238,2,1,4,25,3,2400000,8300000,146,['Drama'],"['Vidhu Vinod Chopra Productions', 'Zee Studios']"
1160018,Kill,hi,hi,2024-07-03,7.0544,7.105,493,2,1,4,81,5,4800000,5600000,105,"['Action', 'Crime', 'Thriller', 'Drama']","['Sikhya Entertainment', 'Dharma Productions']"
4251,Veer-Zaara,hi,hi,2004-11-12,5.716,7.452,305,2,4,1,30,7,7000000,29385320,192,"['Drama', 'Romance']","['Yash Raj Films', 'Veer Zaara Pictures']"
370665,Dilwale,hi,hi,2015-12-18,5.2053,6.6,344,2,2,3,21,2,26000000,61000000,158,"['Crime', 'Action', 'Comedy']","['Red Chillies Entertainment', 'Rohit Shetty Productionz']"
206324,Bhaag Milkha Bhaag,hi,hi,2013-07-12,5.5778,7.5,278,2,3,2,15,4,4600000,25000000,186,"['History', 'Drama']",['Viacom18 Studios']
192558,Aashiqui 2,hi,hi,2013-04-26,5.3046,6.84,188,2,1,4,8,1,1300000,16000000,132,"['Drama', 'Romance']","['T-Series', 'Vishesh Films']"
