adult,backdrop_path,genre_ids,id,title,original_language,original_title,overview,popularity,poster_path,release_date,softcore,video,vote_average,vote_count,language_queried
False,/8gT3UKtglLVpu0YfccwbmXZ5Eis.jpg,"[18, 35]",20453,3 Idiots,hi,3 Idiots,"Rascal. Joker. Dreamer. Genius... You've never met a college student quite like ""Rancho."" From the moment he arrives at India's most prestigious university, Rancho's outlandish schemes turn the campus upside down—along with the lives of his two newfound best friends. Together, they make life miserable for ""Virus,"" the school’s uptight and heartless dean. But when Rancho catches the eye of the dean's daughter, Virus sets his sights on flunking out the ""3 idiots"" once and for all.",18.9154,/66A9MqXOyVFCssoloscw79z8Tew.jpg,2009-12-23,False,False,8.0,2706,hi
False,/lprsAHkwMxk2iC6VZxNmV0H7g1t.jpg,"[28, 80, 18]",781732,Animal,hi,Animal,The hardened son of a powerful industrialist returns home after years abroad and vows to take bloody revenge on those threatening his father's life.,16.0044,/hr9rjR3J0xBBKmlJ4n3gHId9ccx.jpg,2023-12-01,False,False,6.119,189,hi
False,/l0fNAHLOFReQJsxCOmGWvJDnimn.jpg,"[18, 10751, 35]",360814,Dangal,hi,दंगल,"Dangal is an extraordinary true story based on the life of Mahavir Singh and his two daughters, Geeta and Babita Phogat. The film traces the inspirational journey of a father who trains his daughters to become world class wrestlers.",9.7434,/jLiA1WW3kL1K9lYfYmVj57RD74N.jpg,2016-12-21,False,False,7.878,1155,hi
False,/bPwdy3zaNnMdZ22u0WCcYu0xxgt.jpg,[18],7508,Like Stars on Earth,hi,तारे ज़मीन पर,"Ishaan Awasthi is an eight-year-old whose world is filled with wonders that no one else seems to appreciate. Colours, fish, dogs, and kites don't seem important to the adults, who are much more interested in things like homework, marks, and neatness. Ishaan cannot seem to get anything right in class; he is then sent to boarding school, where his life changes forever.",8.3399,/puHRt6Raovm5ujGCdwLWvRv4NHU.jpg,2007-12-21,False,False,7.969,1337,hi
False,/5LtSjMNw6j3LkG29Oa4O0iY5U8.jpg,"[28, 53]",872906,Jawan,hi,जवान,"An emotional journey of a prison warden, driven by a personal vendetta while keeping up to a promise made years ago, recruits inmates to commit outrageous crimes that shed light on corruption and injustice, in an attempt to get even with his past,  and that leads him to an unexpected reunion.",7.9648,/mGiw8zAmHQwKBXDG1n7mQpT5kK1.jpg,2023-09-07,False,False,7.077,326,hi
False,/74bUfGDD0kJ53M334vQcbJRzsI8.jpg,"[18, 28, 10749]",376812,Sultan,hi,सुल्तान,"The ageing wrestler Sultan Ali Khan decides to try his luck on the mat again; to do this, he wants to represent his country at the Olympic Games, but first has to overcome personal issues.",7.2931,/oarT8LL2XE0aPU9kXqrD249Z4rM.jpg,2016-07-06,False,False,6.861,259,hi
False,/zGCnIADWwpjGllYv8DgT8HIuIQl.jpg,"[18, 10749]",26022,My Name Is Khan,hi,My Name Is Khan,"Rizwan Khan, a Muslim from the Borivali section of Mumbai, has Asperger's syndrome. He marries a Hindu single mother, Mandira, in San Francisco. After 9/11, Rizwan is detained by authorities at LAX who treat him as a terrorist because of his condition and his race.",5.4532,/5Y36lCiNyyV71mjq6LavgiggbhT.jpg,2010-02-10,False,False,8.028,1452,hi
False,/6RV2o8PBCEyw9ylOWViV1CtULIF.jpg,[18],1163258,12th Fail,hi,12वीं फेल,"Based on the true story of IPS officer Manoj Kumar Sharma, 12th Fail sheds limelight on fearlessly embracing the idea of restarting the academic journey despite the setbacks and challenges and reclaiming one's destiny at a place where millions of students attempt the world's toughest competitive exam: UPSC.",5.997,/eebUPRI4Z5e1Z7Hev4JZAwMIFkX.jpg,2023-08-11,False,False,7.9,238,hi
False,/u060S4drIWntmLeMDGe7mD0V6Jh.jpg,"[28, 80, 53, 18]",1160018,Kill,hi,KILL,"When an army commando finds out his true love is engaged against her will, he boards a New Dehli-bound train in a daring quest to derail the arranged marriage. But when a gang of knife-wielding thieves begin to terrorize innocent passengers on his train, the commando takes them on, one by one.",7.0544,/m2zXTuNPkywdYLyWlVyJZW2QOJH.jpg,2024-07-03,False,False,7.105,493,hi
False,/hr3MP43lWatnNKtmsYutFUYrLQl.jpg,"[18, 10749]",4251,Veer-Zaara,hi,वीर-ज़ारा,"Squadron Leader Veer Pratap Singh, a pilot in the Indian Air Force, rescues the stranded Zaara, a woman from Pakistan, following a bus accident, and their lives are forever bound.",5.716,/j267YqLvKAHeyykTflxzpgVgviQ.jpg,2004-11-12,False,False,7.452,305,hi
